tileswide 16
tileshigh 16
tilewidth 32
tileheight 32

layer 0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,
1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,
1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,
1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,
1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,
1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,
1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,
1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

